scCODA_sample_id,Endocrine,Enterocyte,Enterocyte.Progenitor,Goblet,Stem,TA,TA.Early,Tuft,condition
B1,0.04285714285714286,0.07023809523809524,0.1619047619047619,0.04285714285714286,0.2845238095238095,0.1488095238095238,0.22738095238095238,0.02142857142857143,Control
B10,0.03368421052631579,0.39263157894736844,0.12210526315789473,0.07052631578947369,0.1231578947368421,0.06842105263157895,0.17684210526315788,0.01263157894736842,Salmonella
B2,0.025,0.23,0.115,0.1,0.25,0.055,0.2,0.025,Control
B3,0.03577106518282989,0.07790143084260731,0.1494435612082671,0.0985691573926868,0.1987281399046105,0.1232114467408585,0.2901430842607313,0.026232114467408585,Control
B4,0.027600849256900213,0.2346072186836518,0.21019108280254778,0.03821656050955414,0.13906581740976645,0.13800424628450106,0.208067940552017,0.004246284501061571,Control
B5,0.0348993288590604,0.050335570469798654,0.23288590604026846,0.04429530201342282,0.21677852348993287,0.17651006711409395,0.21006711409395973,0.03422818791946309,Hpoly.Day3
B6,0.10301109350237718,0.19968304278922344,0.18225039619651348,0.05229793977812995,0.10301109350237718,0.061806656101426306,0.20443740095087162,0.09350237717908082,Hpoly.Day3
B7,0.03592814371257485,0.06073567151411463,0.17365269461077845,0.12574850299401197,0.23182207014542344,0.0932420872540633,0.15397775876817793,0.12489307100085544,Hpoly.Day10
B8,0.02594033722438392,0.03696498054474708,0.248378728923476,0.11024643320363164,0.20817120622568094,0.1582360570687419,0.16601815823605706,0.046044098573281456,Hpoly.Day10
B9,0.045121951219512194,0.40487804878048783,0.1378048780487805,0.07195121951219512,0.10975609756097561,0.05731707317073171,0.16097560975609757,0.012195121951219513,Salmonella
