Gene,Program
ATP6V0C,0
EEF1G,0
GABARAP,0
IFI30,0
MRPS24,0
POLD4,0
PSMA6,0
RNASEK,0
TRAPPC5,0
UBE2V1,0
UGCG,0
CD74,1
HLA-DMA,1
HLA-DMB,1
HLA-DPA1,1
HLA-DQA1,1
HLA-DQB1,1
HLA-DRA,1
HLA-DRB1,1
HLA-DRB5,1
ATP10A,10
FLT3,10
LPAR1,10
PCSK5,10
RASSF4,10
SLC47A1,10
TOX2,10
FLVCR2,100
MS4A14,100
PLD2,100
ASAH2B,101
GSPT2,101
TSPYL5,101
ALDH18A1,102
GOLM1,102
XPNPEP1,102
ACVRL1,103
SIGLEC9,103
SLC1A5,103
MAP1LC3B2,104
NDST2,104
NHEJ1,104
LACC1,105
SLAMF8,105
VASH2,105
F2RL2,106
LCMT2,106
THTPA,106
CLN3,107
KCNN4,107
TLR9,107
EDC4,108
PARP2,108
RINT1,108
DNAJC14,109
GEMIN4,109
NUDT15,109
G0S2,11
GPR183,11
ICAM1,11
PTGS2,11
RGS1,11
RGS2,11
SRGN,11
CXCL16,110
PHLDA3,110
SYNGR2,110
ADCK5,111
PABPC1L,111
TMEM161A,111
ALG2,112
TBL2,112
TOMM34,112
EFNA3,113
PEX13,113
ZNF57,113
ARMCX5,114
NFS1,114
ZNF433,114
CTSH,115
MFSD2A,115
NAPSA,115
FASTKD5,116
PSKH1,116
SMYD5,116
CRKL,117
GCNT1,117
RWDD2B,117
BIK,118
CXCR3,118
PNOC,118
ANKHD1,119
IFNAR2,119
TNFRSF21,119
BOLA2,12
CBWD3,12
EIF3C,12
EIF3CL,12
NOMO2,12
SLX1B,12
SMN1,12
FAM72B,120
GLUD2,120
NBPF11,120
CHRFAM7A,121
RGPD2,121
ST6GALNAC2,121
CD300C,122
CYP2S1,122
FES,122
BLNK,123
WDFY4,123
AVPI1,124
RAB20,124
DECR2,125
FAAH,125
GSTM4,126
HAAO,126
GSTM1,127
PDF,127
ANKRD35,128
PIGO,128
CA8,129
SLAMF7,129
KPNA2,13
NEXN,13
PALLD,13
TAGLN,13
TPM2,13
TUBB6,13
GHRLOS,130
ZNF552,130
TMPPE,131
TOMM40L,131
FANCM,132
POC5,132
HARS2,133
ZNF627,133
KCNMB1,134
P2RY14,134
METTL22,135
ZSCAN16,135
CFP,136
CPVL,136
CDK20,137
CUL7,137
NBPF9,138
RASA4,138
SAAL1,139
ZNF287,139
ANXA2,14
KRT8,14
LIMA1,14
PKIB,14
PTTG1IP,14
TPPP3,14
GORASP1,140
TP53I11,140
BSCL2,141
NGRN,141
CMKLR1,142
SIGLEC1,142
RNF31,143
ZNF410,143
DPH2,144
ENTPD6,144
ARHGEF18,145
ZNF709,145
ACY1,146
CALML4,146
ZNF408,147
ZNF689,148
DERL3,15
MZB1,15
PTCRA,15
SCARB1,15
SH3TC1,15
SMPD3,15
DONSON,16
HBA1,16
HBA2,16
HBB,16
MTRNR2L1,16
MTRNR2L8,16
HDHD2,17
HHAT,17
SYCP2L,17
TSNARE1,17
WDR27,17
ZFAT,17
DDX47,18
DIABLO,18
DPH1,18
GET4,18
GTF2H4,18
HAUS7,18
APTX,19
DNHD1,19
INPP5A,19
ORC3,19
USP37,19
WDR47,19
ASTN2,2
CADM1,2
CKB,2
DST,2
EPB41L2,2
MYO9A,2
RPS6KA2,2
UBE2E2,2
WWOX,2
COX10,20
HMG20A,20
IDH3A,20
IDI2-AS1,20
KCTD3,20
USP45,20
CTSS,21
FCN1,21
KRT5,21
LYZ,21
S100A8,21
S100A9,21
ADAMTSL3,22
ESR1,22
PON2,22
SLC1A3,22
TNS3,22
ADORA3,23
CEACAM4,23
IFT74,23
SIGLEC7,23
TM6SF1,23
IGFLR1,24
LIME1,24
RNASE4,24
TM9SF1,24
TXNDC5,24
ANKS1A,25
CHKA,25
PTPRJ,25
SLC23A2,25
SNX25,25
CTSK,26
IFITM3,26
LGALS1,26
PTGDS,26
SERPINF1,26
CLEC9A,27
HLA-DOB,27
IDO1,27
IDO2,27
KMO,27
BAIAP2,28
CRYM,28
DNASE1L3,28
LAMP5,28
PLK2,28
RASEF,29
RIPK3,29
SRC,29
TLR3,29
TRIM6,29
EPSTI1,3
IFIT1,3
IFIT3,3
MX1,3
OAS1,3
OASL,3
RSAD2,3
USP18,3
ALG8,30
CIAPIN1,30
FAM118B,30
NSDHL,30
PDZD11,30
CDHR4,31
NLRP7,31
RAD9B,31
STK31,31
TMEM212,31
CLNK,32
KCNAB1,32
PIK3R6,32
VASH1,32
ZNF366,32
ABHD16A,33
CDK2AP1,33
GNPTG,33
MAN2B1,33
PRCP,33
CEP85,34
ETAA1,34
MORC4,34
TBC1D8B,34
ZW10,34
CCND1,35
GAS6,35
HOXA9,35
NDN,35
RAB34,35
APCDD1,36
CDH23,36
PFKFB4,36
PLOD1,36
TMEM45A,36
ACTB,37
DUSP1,37
FOS,37
FTL,37
SAT1,37
LILRA2,38
LILRB4,38
LRRC25,38
MYD88,38
PILRA,38
FCGR3B,39
MMP25,39
NOTCH4,39
SOX7,39
SULT1A3,39
ATP9B,4
FAM110B,4
FAM120B,4
KIAA1328,4
MIPOL1,4
SCFD2,4
SLC22A15,4
EIF2B3,40
KLHL22,40
PPIP5K1,40
VPS45,40
ZNF346,40
A1BG-AS1,41
ACOX3,41
TTLL1,41
ZNF16,41
ZNF34,41
BIVM,42
NUDT3,42
PPP4R1,42
SRGAP2,42
TCP10L,42
CD300A,43
FCRL6,43
GZMB,43
SELPLG,43
SH2D1B,43
GDAP1,44
NRP1,44
PLXNA4,44
PTPRO,44
SEZ6L,44
ASAP2,45
CALCRL,45
DACH1,45
DPY19L1,45
EPHB1,45
IL3RA,46
IRF7,46
IRF8,46
LILRA4,46
PLD4,46
CEP128,47
INTS9,47
MIPEP,47
SHQ1,47
TTC27,47
CLEC4C,48
IRF4,48
PPM1J,48
VIPR2,48
ALDH2,49
CAPG,49
FBP1,49
PLBD1,49
CLIC2,5
DAB2,5
HAVCR2,5
HMOX1,5
LGMN,5
SEMA4A,5
TGFBI,5
APOBEC3F,50
HESX1,50
LINC00115,50
NUDT17,50
ACCS,51
B3GNTL1,51
KIF9,51
ZNF18,51
ERCC6,52
PPFIBP2,52
TEX2,52
TMEM140,52
ACP2,53
FUCA1,53
NAGA,53
SLC29A3,53
ACRBP,54
LEFTY1,54
LGALS12,54
PTGS1,54
APBB3,55
ARG2,55
GLA,55
SLC25A19,55
AFMID,56
DNAH17,56
PDE6G,56
SLC24A1,56
ASB13,57
HEXIM2,57
NUDT7,57
SPATA20,57
EIF4EBP3,58
MRPL38,58
PAM16,58
RWDD3,58
COMMD10,59
MYO1E,59
RAD51B,59
TBC1D8,59
FANCA,6
HAUS8,6
KATNA1,6
MCM6,6
MYBL2,6
POLA2,6
POLE,6
CHKB,60
GPS2,60
RAB24,60
TUBG2,60
DCPS,61
EDEM2,61
PREB,61
UBL7,61
FCGR2A,62
FPR1,62
FPR2,62
THBD,62
APEX2,63
PDE6D,63
PRADC1,63
TOR2A,63
CLP1,64
CSTF2,64
ELMO2,64
POLR3C,64
CD1C,65
CLEC10A,65
FCER1A,65
UTS2,65
FAM156A,66
GPR89B,66
ITIH4,66
TRIM69,66
ABCF2,67
ITPK1-AS1,67
NOP2,67
PIGW,67
AGAP5,68
LRRC37A2,68
LY6G5B,68
PTCD1,68
ADCK1,69
DHX35,69
DNAJC11,69
USP40,69
AHCY,7
AIMP2,7
CCDC86,7
EXOSC5,7
NME1,7
PTRH2,7
SEC13,7
CCR5,70
CD200R1,70
DTX4,70
GPR35,70
ARMCX6,71
ERAL1,71
FAM32A,71
NKIRAS2,71
CLCN5,72
DUSP3,72
GBA2,72
SLC4A3,72
BATF3,73
CRIP3,73
HSPA1L,73
TNNI2,73
CST3,74
GRN,74
PSAP,74
TMEM176B,74
B3GNT8,75
NPC1,75
PLA2G4C,75
TTYH2,75
CD101,76
CLEC4F,76
PHEX,76
TNFSF12,76
ACOT7,77
MAP1A,77
PACSIN1,77
SCAMP5,77
GSDMB,78
LRP5L,78
RASGEF1A,78
CCR4,79
IL18R1,79
LILRA6,79
C1QB,8
CD68,8
FCER1G,8
FCGR3A,8
LAIR2,8
MS4A4A,8
TYROBP,8
MAGED1,80
SIDT1,80
TASP1,80
AOAH,81
CSF1R,81
HCK,81
ABHD15,82
MILR1,82
P2RY6,82
CD300LF,83
HK3,83
P2RX1,83
BBS4,84
GSS,84
PEX11B,84
ARMC6,85
BYSL,85
TARS2,85
PARP3,86
PLCD1,86
TMEM79,86
MDP1,87
SDR39U1,87
WBP1,87
PFKFB2,88
PROC,88
SERPINF2,88
KCNK10,89
PDGFC,89
SCN9A,89
EPHA2,9
F11R,9
GPRC5C,9
JUP,9
NDRG2,9
TRIP10,9
ZG16B,9
NOD1,90
TRIM74,90
UNC5CL,90
CELSR3,91
FKRP,91
TIAF1,91
AMACR,92
ZNF460,92
ZNF543,92
HMGN4,93
RAVER1,93
ZGPAT,93
PLB1,94
SH2D3C,94
TREML2,94
A2M,95
GSN,95
IGFBP3,95
GORAB,96
NXT2,96
UPRT,96
ADHFE1,97
ASB2,97
PAPLN,97
HDX,98
SPIN3,98
TMEM8B,98
AMPD3,99
MBOAT1,99
ST3GAL4,99
